Epochs, Classification Accuracy, Training MSE
1,0.08490566037735849,0.9446045847241761
2,0.09299191374663072,0.914092627788079
3,0.10107816711590296,0.9121263529014519
4,0.10107816711590296,0.9099717046373571
5,0.12264150943396226,0.9048157581401033
6,0.19137466307277629,0.891184663433064
7,0.19811320754716982,0.8633176954078549
8,0.22641509433962265,0.83656094654044
9,0.24663072776280323,0.8218761979881807
10,0.2628032345013477,0.8129109930090463
11,0.27628032345013476,0.8058881741737273
12,0.29245283018867924,0.7993979620346834
13,0.29784366576819404,0.7928088224707881
14,0.31536388140161725,0.7858219585986204
15,0.3221024258760108,0.7783721836072591
16,0.3274932614555256,0.7706170630830893
17,0.33153638814016173,0.7627871566615104
18,0.34097035040431267,0.7550650566740515
19,0.353099730458221,0.7475268724994477
20,0.3638814016172507,0.7401210553985751
21,0.37601078167115903,0.7328038003522392
22,0.39622641509433965,0.7256136167528161
23,0.4056603773584906,0.7184859470421693
24,0.42048517520215634,0.7113514407572005
25,0.4393530997304582,0.704171610382075
26,0.4555256064690027,0.696933726323418
27,0.46900269541778977,0.6896461645262452
28,0.4838274932614555,0.6823313874272404
29,0.49326145552560646,0.6750178212620129
30,0.5026954177897575,0.6677344575466369
31,0.5161725067385444,0.6605100400360951
32,0.522911051212938,0.6533738224017153
33,0.5269541778975741,0.646353977421699
34,0.5309973045822103,0.6394745262473048
35,0.5417789757412399,0.6327539090084009
36,0.5512129380053908,0.6262055329568831
37,0.5539083557951483,0.6198388247245291
38,0.5646900269541779,0.6136598588318108
39,0.5700808625336927,0.6076713872472047
40,0.5795148247978437,0.6018723369712929
41,0.5795148247978437,0.5962572060212014
42,0.5849056603773585,0.5908166579169839
43,0.5902964959568733,0.5855408973627795
44,0.5916442048517521,0.5804246829973995
45,0.5970350404312669,0.5754688499102198
46,0.605121293800539,0.5706755877946454
47,0.6064690026954178,0.5660427174507286
48,0.6118598382749326,0.5615624497519072
49,0.6199460916442049,0.5572231648386897
50,0.6226415094339622,0.5530113979078392
51,0.623989218328841,0.5489131710779532
52,0.6266846361185984,0.544914719772282
53,0.6293800539083558,0.5410028216253847
54,0.6401617250673854,0.5371649771248934
55,0.6442048517520216,0.5333897044487886
56,0.6428571428571429,0.5296670713844552
57,0.6442048517520216,0.5259893282507011
58,0.6415094339622641,0.5223513107664509
59,0.6442048517520216,0.5187502646843168
60,0.6442048517520216,0.5151850356642899
61,0.6469002695417789,0.5116550267557507
62,0.6522911051212938,0.5081594506738648
63,0.6536388140161725,0.5046970582716109
64,0.6549865229110512,0.5012661578830319
65,0.6563342318059299,0.4978646673706209
66,0.6630727762803235,0.4944900353981932
67,0.6657681940700808,0.4911389915371223
68,0.6657681940700808,0.487807277344038
69,0.6671159029649596,0.484489538543041
70,0.6671159029649596,0.48117870077729596
71,0.6738544474393531,0.47786279434897533
72,0.6752021563342318,0.47451903991080435
73,0.6752021563342318,0.4711215744942098
74,0.6752021563342318,0.46768079326178874
75,0.6778975741239892,0.4642406860140525
76,0.6805929919137467,0.46083123146432314
77,0.6873315363881402,0.45746362369688415
78,0.6900269541778976,0.4541418590741658
79,0.6981132075471698,0.45086756226745267
80,0.7035040431266847,0.4476415220610678
81,0.7102425876010782,0.44446423769526405
82,0.7115902964959568,0.44133601845214065
83,0.7142857142857143,0.4382568963114553
84,0.7183288409703504,0.4352265140697774
85,0.7223719676549866,0.4322440816620385
86,0.7237196765498652,0.4293084712631451
87,0.7264150943396226,0.4264184812531238
88,0.7331536388140162,0.42357316522616506
89,0.7358490566037735,0.4207719865687986
90,0.7371967654986523,0.41801464016642176
91,0.7398921832884097,0.4153006609423077
92,0.7439353099730458,0.4126290838575534
93,0.7466307277628033,0.40999832045710183
94,0.7506738544474394,0.40740628608987006
95,0.7520215633423181,0.40485070202019335
96,0.7533692722371967,0.40232940401727374
97,0.7547169811320755,0.3998405296096095
98,0.7560646900269542,0.3973825755982384
99,0.7560646900269542,0.39495437441472114
100,0.7574123989218329,0.3925550279957142
101,0.7574123989218329,0.3901838163118719
102,0.7560646900269542,0.3878400876768821
103,0.7574123989218329,0.38552313878915584
104,0.7547169811320755,0.3832320980756991
105,0.7574123989218329,0.3809658310885406
106,0.7601078167115903,0.3787228895914138
107,0.761455525606469,0.3765015260275574
108,0.7641509433962265,0.3742997910278154
109,0.7668463611859838,0.37211572327774045
110,0.7654986522911051,0.3699476302834864
111,0.77088948787062,0.367794451892976
112,0.7722371967654986,0.3656562039704221
113,0.7735849056603774,0.3635344754593078
114,0.7735849056603774,0.36143264453087365
115,0.7735849056603774,0.3593541616310767
116,0.7749326145552561,0.3572946140269776
117,0.7749326145552561,0.35522748705965235
118,0.7762803234501348,0.35311106777688156
119,0.7789757412398922,0.35093309692729363
120,0.7816711590296496,0.34871852762590394
121,0.784366576819407,0.34649230668821446
122,0.7897574123989218,0.3442670538276188
123,0.7897574123989218,0.3420365983881706
