Epochs, Classification Accuracy, Training MSE
1,0.08490566037735849,0.9391392868251704
2,0.08490566037735849,0.9134764412964055
3,0.08221024258760108,0.9133075807243685
4,0.08221024258760108,0.913168332255073
5,0.08355795148247978,0.9130499597140237
6,0.08490566037735849,0.9129462743948918
7,0.08221024258760108,0.9128532395869957
8,0.07951482479784366,0.9127683054315848
9,0.07681940700808626,0.9126898405178842
10,0.07547169811320754,0.9126167372340904
11,0.07547169811320754,0.9125481596345195
12,0.07277628032345014,0.9124833888722784
13,0.07277628032345014,0.9124217360139474
14,0.07277628032345014,0.9123625081798291
15,0.07547169811320754,0.9123050232994839
16,0.07277628032345014,0.9122486687993778
17,0.07277628032345014,0.9121929894278953
18,0.07142857142857142,0.9121377725272392
19,0.07008086253369272,0.9120830871502835
20,0.07008086253369272,0.9120292432681876
21,0.07008086253369272,0.9119766737938885
22,0.07008086253369272,0.9119257840533946
23,0.07547169811320754,0.9118768283865635
24,0.07412398921832884,0.9118298519910671
25,0.07412398921832884,0.9117846991148021
26,0.07412398921832884,0.9117410628218926
27,0.07412398921832884,0.9116985459510123
28,0.07412398921832884,0.9116567107731257
29,0.07816711590296496,0.9116151061550211
30,0.07816711590296496,0.9115732697902669
31,0.07951482479784366,0.9115307076585899
32,0.08086253369272237,0.9114868537452501
33,0.08221024258760108,0.9114410109586764
34,0.08086253369272237,0.9113922695603905
35,0.08086253369272237,0.911339392102977
36,0.08086253369272237,0.9112806426492367
37,0.07951482479784366,0.9112135196574258
38,0.07951482479784366,0.911134318896001
39,0.07681940700808626,0.9110373882660173
40,0.07681940700808626,0.9109138005641405
41,0.07816711590296496,0.9107488621987239
42,0.08086253369272237,0.9105171296617087
43,0.08355795148247978,0.9101717008419988
44,0.0876010781671159,0.9096194401961215
45,0.09838274932614555,0.9086590412929724
46,0.11455525606469003,0.9068117152721408
47,0.14016172506738545,0.9028154371487853
48,0.1765498652291105,0.8930024656808337
49,0.19946091644204852,0.8689619118940106
50,0.20754716981132076,0.8423597651316167
51,0.2196765498652291,0.8308225239937189
52,0.2358490566037736,0.8247051638117814
53,0.24123989218328842,0.8200613263893635
54,0.25202156334231807,0.8158830098612602
55,0.2601078167115903,0.8117297181480714
56,0.2641509433962264,0.8074272325200182
57,0.2749326145552561,0.8029446757841741
58,0.2803234501347709,0.7983165052325597
59,0.29514824797843664,0.7936157763702715
60,0.2991913746630728,0.7888975541549941
61,0.3018867924528302,0.7841720654302395
62,0.3113207547169811,0.779423583158332
63,0.32075471698113206,0.7746312127716867
64,0.32075471698113206,0.7697815207582939
65,0.330188679245283,0.764881730673243
66,0.33423180592991913,0.7599919593524801
67,0.3477088948787062,0.7551903606158766
68,0.35444743935309975,0.750540317525749
69,0.35444743935309975,0.7460861942751744
70,0.35983827493261455,0.7418443588691062
71,0.3638814016172507,0.7377828835580195
72,0.3692722371967655,0.7338318713576062
73,0.37870619946091644,0.729936235071443
74,0.38409703504043125,0.7260729727846407
75,0.3908355795148248,0.7221734153535704
76,0.3948787061994609,0.7179358557636524
77,0.40161725067385445,0.7134909774044637
78,0.4029649595687331,0.7091852896260746
79,0.408355795148248,0.7046777792769501
80,0.4056603773584906,0.699589279433462
81,0.42048517520215634,0.6926952545978434
82,0.4326145552560647,0.6845847067953093
83,0.4501347708894879,0.6751894168080831
84,0.4865229110512129,0.6635223520459339
85,0.4973045822102426,0.6503139364558748
86,0.5094339622641509,0.6384441251325764
87,0.5363881401617251,0.6256014433163428
88,0.545822102425876,0.6160650070168868
89,0.5363881401617251,0.6071120487822065
90,0.5485175202156334,0.6001646170960775
91,0.568733153638814,0.5925102504522325
92,0.5646900269541779,0.5886912722417084
93,0.5646900269541779,0.5809133695945685
94,0.5727762803234502,0.575459048869483
95,0.5768194070080862,0.5639227902030863
96,0.601078167115903,0.5554265684047492
97,0.6037735849056604,0.544774174900076
98,0.6064690026954178,0.5387207851776304
99,0.6078167115902965,0.5363539840106863
100,0.6212938005390836,0.532212998021767
101,0.6024258760107817,0.5295533616976347
102,0.601078167115903,0.524758972642934
103,0.6293800539083558,0.5173354321563185
104,0.6293800539083558,0.5153534376170431
105,0.6563342318059299,0.5001681161395176
106,0.6388140161725068,0.5061242999244812
107,0.6644204851752021,0.4914705284146302
108,0.6428571428571429,0.5055468587219439
