
Dataset name: data/vowel.arff
Number of instances: 990
Number of attributes: 14
Learning algorithm: neuralnet
Evaluation method: random

Calculating accuracy on a random hold-out set...
Percentage used for training: 0.75
Percentage used for testing: 0.25
input, hidden, hidden layers, output
13,2,2,11
Epochs, Training MSE, Validation Classification Accuracy
1,0.9901585960815605,0.07258064516129033
2,0.9112591808070184,0.07258064516129033
3,0.9112391772015996,0.07258064516129033
4,0.9112307577793689,0.07258064516129033
5,0.9112217731191039,0.07258064516129033
6,0.9112125429895134,0.07258064516129033
7,0.9112031142555933,0.07258064516129033
8,0.911193492019895,0.07258064516129033
9,0.9111836769463798,0.07258064516129033
10,0.9111736694282428,0.07258064516129033
11,0.9111634699675872,0.07258064516129033
12,0.9111530791264685,0.07258064516129033
13,0.9111424974054951,0.07258064516129033
14,0.9111317250825216,0.07258064516129033
15,0.9111207620088296,0.07258064516129033
16,0.9111096073558392,0.07258064516129033
17,0.9110982593046766,0.07258064516129033
18,0.9110867146717381,0.07258064516129033
19,0.9110749684666943,0.07258064516129033
20,0.9110630133877313,0.07258064516129033
21,0.9110508392768436,0.07258064516129033
22,0.9110384325940879,0.07258064516129033
23,0.9110257760375909,0.07258064516129033
24,0.9110128485569057,0.07258064516129033
25,0.9109996262062183,0.07258064516129033
26,0.9109860845720884,0.07258064516129033
27,0.9109722038261517,0.07258064516129033
28,0.9109579775260701,0.07258064516129033
29,0.9109434254512101,0.07258064516129033
30,0.9109286080078073,0.07258064516129033
31,0.9109136348597425,0.07258064516129033
32,0.910898656622364,0.07258064516129033
33,0.9108838329152044,0.07258064516129033
34,0.9108692857915881,0.07258064516129033
35,0.9108550620505781,0.07258064516129033
36,0.9108411233707117,0.07258064516129033
37,0.9108273629065166,0.07258064516129033
38,0.9108136324282377,0.07258064516129033
39,0.9107997652765092,0.07258064516129033
40,0.9107855891777498,0.07258064516129033
41,0.9107709296373183,0.07258064516129033
42,0.9107556068606407,0.07258064516129033
43,0.9107394287830288,0.07258064516129033
44,0.9107221817031618,0.07258064516129033
45,0.9107036190497507,0.07258064516129033
46,0.9106834481197575,0.07258064516129033
47,0.9106613141202929,0.07258064516129033
48,0.9106367803976717,0.07258064516129033
49,0.9106093032314163,0.07258064516129033
50,0.910578198900628,0.07258064516129033
51,0.9105425997695606,0.07258064516129033
52,0.9105013947136378,0.07258064516129033
53,0.9104531470471285,0.07258064516129033
54,0.9103959797861851,0.07258064516129033
55,0.9103274128695897,0.07258064516129033
56,0.9102441286586411,0.07258064516129033
57,0.9101416285799742,0.07258064516129033
58,0.9100137215496599,0.07258064516129033
59,0.9098517474046649,0.07258064516129033
60,0.9096433743815279,0.07661290322580645
61,0.9093706976487029,0.08064516129032258
62,0.9090071681166852,0.0846774193548387
63,0.9085125329667253,0.08870967741935484
64,0.9078243839271296,0.14516129032258066
65,0.9068440738838786,0.1532258064516129
66,0.9054142980205585,0.16129032258064516
67,0.9032890505786499,0.15725806451612903
68,0.9001163192004235,0.20161290322580644
69,0.8955108155020786,0.18548387096774194
70,0.8893424777581639,0.1814516129032258
71,0.8821286769288114,0.1814516129032258
72,0.8749063266699079,0.20161290322580644
73,0.8684968441783896,0.16532258064516128
74,0.8631445080662152,0.16532258064516128
75,0.8587394965102996,0.16532258064516128
76,0.8551013256015523,0.1693548387096774
77,0.8520035677586189,0.1693548387096774
78,0.8488701597033393,0.1693548387096774
79,0.8460303277912097,0.1774193548387097
80,0.8433558893767644,0.17338709677419356
81,0.8408283444462418,0.1774193548387097
82,0.8384367874054408,0.1814516129032258
83,0.8361595246785088,0.1814516129032258
84,0.8339275730740302,0.1814516129032258
85,0.8317294510078004,0.18548387096774194
86,0.829517820310902,0.18548387096774194
87,0.8274059571426559,0.18951612903225806
88,0.8254373697724988,0.1975806451612903
89,0.8236161095754934,0.1975806451612903
90,0.8219107547023691,0.2056451612903226
91,0.820273514547021,0.2056451612903226
92,0.8186798010354799,0.21370967741935484
93,0.8171359661462706,0.21774193548387097
94,0.8155356246688413,0.22580645161290322
95,0.8138100195531612,0.22983870967741934
96,0.8120949693659254,0.23387096774193547
97,0.8104293631288341,0.23387096774193547
98,0.8088210820684462,0.2540322580645161
99,0.8067602683833579,0.25
100,0.8041931306218708,0.25806451612903225
101,0.8020111538278214,0.2540322580645161
102,0.799989735802534,0.24596774193548387
103,0.7977106903389161,0.25
104,0.7957770112126833,0.25
105,0.7939154182430154,0.23387096774193547
106,0.7931632114992274,0.25806451612903225
107,0.7905301268911171,0.23387096774193547
108,0.7883652542958293,0.2782258064516129
109,0.787404833914938,0.25
110,0.7866973393236337,0.2620967741935484
111,0.7848728699215074,0.23790322580645162
112,0.7837712646455638,0.2540322580645161
113,0.7828682487809182,0.2540322580645161
114,0.7822231992405163,0.22983870967741934
115,0.7811856961270953,0.23790322580645162
116,0.7809412358204709,0.21774193548387097
117,0.7804305182734791,0.22580645161290322
118,0.7793652813602341,0.2217741935483871
119,0.778227752122636,0.21774193548387097
120,0.7777525922535714,0.21370967741935484
121,0.7776688839897481,0.20967741935483872
122,0.7846669763300816,0.2701612903225806
123,0.7908618347907799,0.2862903225806452
124,0.8062769046935601,0.23387096774193547
125,0.8111838037468929,0.2620967741935484
126,0.7909862120736337,0.33064516129032256
127,0.7878895774120228,0.3064516129032258
128,0.7871359116984314,0.2620967741935484
129,0.7862125601157764,0.3024193548387097
130,0.7925266818052948,0.2862903225806452
131,0.7852993913899631,0.32661290322580644
132,0.7822936619988448,0.31451612903225806
133,0.7789827299809438,0.2903225806451613
134,0.7774525170190096,0.2862903225806452
135,0.77869927141055,0.2540322580645161
