
Dataset name: data/vowel.arff
Number of instances: 990
Number of attributes: 14
Learning algorithm: neuralnet
Evaluation method: random

Calculating accuracy on a random hold-out set...
Percentage used for training: 0.75
Percentage used for testing: 0.25
input, hidden, hidden layers, output
13,32,1,11
Epochs, Training MSE, Validation Classification Accuracy
1,0.9309875609365449,0.11290322580645161
2,0.9106674757883895,0.12903225806451613
3,0.886076872518415,0.23790322580645162
4,0.8445985441808024,0.25
5,0.8242638736260167,0.29838709677419356
6,0.8095112700504323,0.34274193548387094
7,0.7936363507737753,0.35080645161290325
8,0.7763003384574246,0.3870967741935484
9,0.7588818092250557,0.3951612903225806
10,0.7426963091086805,0.41935483870967744
11,0.7281535554001548,0.45161290322580644
12,0.7150854431630173,0.4838709677419355
13,0.703090177333171,0.4959677419354839
14,0.6916675899534303,0.5080645161290323
15,0.6803847274995026,0.4959677419354839
16,0.6691010083800352,0.532258064516129
17,0.6578733770701415,0.5362903225806451
18,0.6468792870090734,0.5241935483870968
19,0.6361861214670922,0.5241935483870968
20,0.6257055610108422,0.532258064516129
21,0.6155828577515519,0.5362903225806451
22,0.6058866617808406,0.5362903225806451
23,0.596638466205495,0.5483870967741935
24,0.5878233433357309,0.5483870967741935
25,0.5794169623028883,0.5645161290322581
26,0.5713888647163652,0.5564516129032258
27,0.5637248885265888,0.5604838709677419
28,0.5564254648626518,0.5725806451612904
29,0.5494775539263088,0.5806451612903226
30,0.5428558196735233,0.5806451612903226
31,0.5365218185492916,0.5806451612903226
32,0.5305135369954581,0.5806451612903226
33,0.5248131724674797,0.5887096774193549
34,0.5193562955471209,0.5846774193548387
35,0.5139600885367777,0.5806451612903226
36,0.5075364278214575,0.6048387096774194
37,0.5014808236196807,0.6129032258064516
38,0.49572824779396524,0.6088709677419355
39,0.4901160198845844,0.6088709677419355
40,0.48455202679463877,0.6169354838709677
41,0.47901201605921523,0.6129032258064516
42,0.4736445054689088,0.6129032258064516
43,0.4687060638686232,0.6129032258064516
44,0.46405861236222584,0.6088709677419355
45,0.4597440428446959,0.6008064516129032
46,0.45547171705921147,0.6048387096774194
47,0.451165081038083,0.6088709677419355
48,0.44700966459881236,0.6169354838709677
49,0.44321714041140675,0.6169354838709677
50,0.43940933007841615,0.6330645161290323
51,0.43533147966630065,0.6451612903225806
52,0.43114820486150857,0.6491935483870968
53,0.4268116760869999,0.6532258064516129
54,0.422370092072093,0.6532258064516129
55,0.4179859793600054,0.657258064516129
56,0.4136932635644438,0.6612903225806451
57,0.4094772539465805,0.6612903225806451
58,0.40531829088074367,0.657258064516129
59,0.4010235352183897,0.6532258064516129
60,0.39624480976267373,0.657258064516129
61,0.39179427466004335,0.6653225806451613
62,0.3871381609158325,0.6733870967741935
63,0.38295154741187776,0.6733870967741935
64,0.37891462275861904,0.6774193548387096
65,0.37453323058553606,0.6774193548387096
66,0.37031116023487093,0.6774193548387096
67,0.3664714425199572,0.6814516129032258
