
Dataset name: data/vowel.arff
Number of instances: 990
Number of attributes: 14
Learning algorithm: neuralnet
Evaluation method: random

Calculating accuracy on a random hold-out set...
Percentage used for training: 0.75
Percentage used for testing: 0.25
input, hidden, hidden layers, output
13,64,1,11
Epochs, Training MSE, Validation Classification Accuracy
1,0.928341615173728,0.06451612903225806
2,0.9123843278360304,0.13306451612903225
3,0.884617045242456,0.17338709677419356
4,0.84045433909998,0.18548387096774194
5,0.8174218162989579,0.23387096774193547
6,0.7968126116661128,0.2540322580645161
7,0.7773943237011716,0.2782258064516129
8,0.760248637783004,0.29435483870967744
9,0.7453170918328158,0.33064516129032256
10,0.7321530327688855,0.3790322580645161
11,0.7203909172308512,0.41935483870967744
12,0.7097183054987468,0.4314516129032258
13,0.6997697521196936,0.45564516129032256
14,0.6902116712407497,0.4596774193548387
15,0.6808271139397681,0.5040322580645161
16,0.6714996695331562,0.5161290322580645
17,0.6621650427607273,0.5080645161290323
18,0.6527838973764407,0.5241935483870968
19,0.6433271957513743,0.5282258064516129
20,0.6338495299505105,0.5362903225806451
21,0.6244728797870498,0.532258064516129
22,0.6152665319908978,0.5524193548387096
23,0.6062791185625857,0.5524193548387096
24,0.597550602554547,0.5483870967741935
25,0.5890937457188654,0.5524193548387096
26,0.5808781688708878,0.5564516129032258
27,0.5728779290703737,0.5443548387096774
28,0.5650156506244176,0.5604838709677419
29,0.5571478996185328,0.5564516129032258
30,0.5492123085877267,0.5645161290322581
31,0.5412659117555153,0.5645161290322581
32,0.5334415938958539,0.5685483870967742
33,0.5258223236272469,0.5645161290322581
34,0.518403769789166,0.5645161290322581
35,0.5112363599531137,0.5725806451612904
36,0.5043877848721389,0.5645161290322581
37,0.4978499649961638,0.5725806451612904
38,0.49153063345224957,0.5766129032258065
39,0.48532374804999956,0.5846774193548387
40,0.47923748601321015,0.5887096774193549
41,0.47331029384041345,0.5887096774193549
42,0.46755936561164874,0.592741935483871
43,0.4619579558839152,0.6088709677419355
44,0.4564474913848124,0.6129032258064516
45,0.45097547712154534,0.6129032258064516
46,0.445514961793889,0.6088709677419355
47,0.4400201301695874,0.6088709677419355
48,0.43422452768739606,0.625
49,0.4279240572537734,0.6209677419354839
50,0.4216248629044002,0.625
51,0.41553457760123935,0.625
52,0.40976787109667734,0.6209677419354839
53,0.40427587595370074,0.6209677419354839
54,0.3989498707620918,0.6209677419354839
55,0.39383641665876257,0.625
56,0.3888353647808492,0.6290322580645161
57,0.38422944072648524,0.6290322580645161
58,0.3791269330072714,0.6330645161290323
59,0.3735495902191879,0.6330645161290323
60,0.3683483029615195,0.6370967741935484
61,0.3633871193537056,0.6330645161290323
62,0.358572334283402,0.6370967741935484
63,0.3539399065177411,0.6411290322580645
64,0.3497088458720249,0.6370967741935484
65,0.34561490542403106,0.6370967741935484
66,0.34136936733992146,0.6330645161290323
67,0.3370183064273857,0.6330645161290323
68,0.3328280277586416,0.6330645161290323
69,0.32885777408755956,0.6330645161290323
70,0.3248146827933213,0.6330645161290323
71,0.32066376132954916,0.6330645161290323
72,0.3164926094344466,0.6370967741935484
73,0.312353369032652,0.6451612903225806
74,0.3082982502718477,0.6491935483870968
75,0.3043947105378694,0.6491935483870968
76,0.3006942940952746,0.657258064516129
77,0.29719116158627673,0.6532258064516129
78,0.293740834076772,0.657258064516129
79,0.2902448607761068,0.6612903225806451
80,0.28685993053708747,0.6612903225806451
81,0.2836884522197834,0.6693548387096774
82,0.2805296927284874,0.6733870967741935
83,0.27720771700252095,0.6693548387096774
84,0.2738881698280303,0.6733870967741935
85,0.2708628508998694,0.6774193548387096
