
Dataset name: data/vowel.arff
Number of instances: 990
Number of attributes: 11
Learning algorithm: neuralnet
Evaluation method: random

Calculating accuracy on a random hold-out set...
Percentage used for training: 0.75
Percentage used for testing: 0.25
input, hidden, hidden layers, output
10,64,1,11
Epochs, Training MSE, Validation Classification Accuracy
1,0.9270388740936946,0.12096774193548387
2,0.9073089920488594,0.12096774193548387
3,0.8659266616674525,0.13306451612903225
4,0.8255623591356146,0.21774193548387097
5,0.8028520983627333,0.3064516129032258
6,0.7797468291505534,0.33064516129032256
7,0.7561486565268984,0.35080645161290325
8,0.7335482404227488,0.3951612903225806
9,0.713485324463549,0.4112903225806452
10,0.6967832068949995,0.4435483870967742
11,0.6828341313585973,0.45564516129032256
12,0.6706399797551642,0.46774193548387094
13,0.6594159245495761,0.4879032258064516
14,0.6486768678536525,0.5040322580645161
15,0.6381823184884253,0.5120967741935484
16,0.6278684223303609,0.532258064516129
17,0.6177610079917063,0.5645161290322581
18,0.6079007879119103,0.5766129032258065
19,0.5983218790699426,0.5846774193548387
20,0.5890580894286138,0.6048387096774194
21,0.5801421866693424,0.6129032258064516
22,0.5715976291570196,0.6209677419354839
23,0.5634312879188124,0.625
24,0.555630387420325,0.6169354838709677
25,0.5481644776480242,0.6209677419354839
26,0.5409917466994609,0.6370967741935484
27,0.5340670807741947,0.6370967741935484
28,0.5273487071047104,0.6330645161290323
29,0.5208016556373469,0.6330645161290323
30,0.5143982586280775,0.6451612903225806
31,0.5081168216994173,0.6451612903225806
32,0.5019394954719986,0.6370967741935484
33,0.4958501998824379,0.6370967741935484
34,0.489833388408613,0.6411290322580645
35,0.4838740096539575,0.6411290322580645
36,0.4779583150691671,0.6491935483870968
37,0.4720747973533664,0.6411290322580645
38,0.46621473417917114,0.6330645161290323
39,0.46037229391265416,0.6411290322580645
40,0.4545445983850143,0.6451612903225806
41,0.44873209392503505,0.6491935483870968
42,0.4429388486386933,0.6532258064516129
43,0.4371719638485945,0.6532258064516129
44,0.4314401727617014,0.6532258064516129
45,0.4257524601792684,0.6612903225806451
46,0.42011704806696226,0.6733870967741935
47,0.4145406369615596,0.6733870967741935
48,0.40902788055522954,0.6814516129032258
49,0.4035811979760329,0.6854838709677419
50,0.3982009946840841,0.6854838709677419
51,0.3928862176438442,0.6854838709677419
52,0.3876350442268665,0.6895161290322581
53,0.382445484276841,0.6895161290322581
54,0.3773157421898962,0.6935483870967742
55,0.372244290660372,0.6935483870967742
56,0.36722971977942104,0.6975806451612904
57,0.3622705039742764,0.7137096774193549
58,0.35736482116226465,0.717741935483871
59,0.3525104703927251,0.7217741935483871
60,0.3477048630898393,0.7217741935483871
61,0.34294508329265955,0.7298387096774194
62,0.33822806252268717,0.7258064516129032
63,0.333550864154119,0.7217741935483871
64,0.32891088511799016,0.7137096774193549
65,0.3243056188992074,0.7298387096774194
66,0.31973175167636836,0.7419354838709677
67,0.3151837157066233,0.7459677419354839
68,0.3106519860454835,0.7540322580645161
69,0.3061223403417568,0.7620967741935484
70,0.3015818154322404,0.7661290322580645
71,0.29703553831561,0.7661290322580645
72,0.29250219380229553,0.7741935483870968
73,0.28797162057071113,0.7782258064516129
74,0.28341175262716556,0.7903225806451613
75,0.2788201727271021,0.7903225806451613
76,0.27423636677699004,0.7943548387096774
77,0.2697643226965007,0.7943548387096774
78,0.26548001414193445,0.7943548387096774
79,0.26137100840076416,0.7943548387096774
80,0.25740259730972237,0.7983870967741935
81,0.25354921571185285,0.7983870967741935
82,0.24979337204875146,0.7983870967741935
83,0.24612135037370556,0.7943548387096774
84,0.24252109207842304,0.7983870967741935
85,0.23898163271479256,0.7983870967741935
86,0.2354935270834923,0.7943548387096774
87,0.23205004545876448,0.7983870967741935
88,0.22864852915372927,0.7983870967741935
89,0.22529069783467326,0.8024193548387096
90,0.22198114908523883,0.8064516129032258
91,0.21872490309212567,0.8064516129032258
92,0.21552568402722538,0.8064516129032258
93,0.21238562373013956,0.8104838709677419
94,0.2093057986574462,0.8145161290322581
95,0.2062868006591589,0.8145161290322581
96,0.20332898100568983,0.8185483870967742
97,0.20043238956242895,0.8185483870967742
98,0.19759657816195028,0.8185483870967742
99,0.19482043130162296,0.8225806451612904
100,0.19210211646825906,0.8266129032258065
101,0.18943916453681095,0.8306451612903226
102,0.1868286325579358,0.8346774193548387
